Time,GPS_Long,GPS_Lat,GPS_Alt,SDn,SDe,SDu,GPS_Status
rospy.Time[1638475959859168887],-65.07678521666666,44.954947921666665,8.29,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475960058678652],-65.07679478333333,44.95494332166667,8.271,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475960264503492],-65.07680452333334,44.95493883333333,8.275000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475960459623842],-65.07681429166666,44.95493451166666,8.269000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475960662689975],-65.07682418666667,44.954930375,8.254000000000001,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475960860631126],-65.07683435166666,44.954926605,8.253,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475961077646180],-65.07684475333333,44.95492311333334,8.259,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475961266119138],-65.07685527166667,44.95491999833333,8.262,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475961463848130],-65.07686607333333,44.95491744833333,8.258000000000003,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475961665015387],-65.07687707166667,44.95491535666667,8.249000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475961860332869],-65.07688816833334,44.95491392833333,8.264,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475962064389313],-65.07689932166667,44.95491311166667,8.282,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475962261679091],-65.07691038833333,44.95491290333333,8.294,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475962471204071],-65.07692132166666,44.95491334333333,8.303,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475962665842638],-65.07693201166667,44.95491433833333,8.326,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475962857862949],-65.07694240666666,44.954915893333336,8.333000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475963069770616],-65.07695237833333,44.95491817833334,8.355,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475963260860662],-65.076961735,44.954921095,8.374000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475963468031403],-65.076970555,44.95492466666666,8.386,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475963671457588],-65.07697876833333,44.95492860666667,8.418,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475963864926626],-65.076986205,44.954932905,8.448,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475964059816457],-65.07699283166667,44.954937705,8.465,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475964258890540],-65.07699868666667,44.95494278166667,8.48,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475964463444674],-65.07700397833334,44.95494799666667,8.5,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475964658174388],-65.07700863666666,44.954953593333336,8.518,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475964860905873],-65.07701268166667,44.95495966833333,8.543,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475965080043497],-65.07701608333333,44.954965945,8.558,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475965268716581],-65.07701874833333,44.954972615,8.573,0.000256,0.000256,0.004096,2.0
