Time,GPS_Long,GPS_Lat,GPS_Alt,SDn,SDe,SDu,GPS_Status,IMU_AngVelX,IMU_AngVelY,IMU_AngVelZ,IMU_LinearAccX,IMU_LinearAccY,IMU_LinearAccZ
rospy.Time[1638475960264503492],-65.07680452,44.95493883,8.275,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475960459623842],-65.07681429,44.95493451,8.269,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475960662689975],-65.07682419,44.95493038,8.254,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475960860631126],-65.07683435,44.95492661,8.253,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475961077646180],-65.07684475,44.95492311,8.259,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475961266119138],-65.07685527,44.95492,8.262,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475961463848130],-65.07686607,44.95491745,8.258,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475961665015387],-65.07687707,44.95491536,8.249,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475961860332869],-65.07688817,44.95491393,8.264,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475962064389313],-65.07689932,44.95491311,8.282,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475962261679091],-65.07691039,44.9549129,8.294,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475962471204071],-65.07692132,44.95491334,8.303,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475962665842638],-65.07693201,44.95491434,8.326,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475962857862949],-65.07694241,44.95491589,8.333,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
